id,age time,age temp, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau1, Tau2, Tau3,binary peak split 
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot34-POS-1.txt,1500,330,4.15E+08,7.98E+03,3.54E-06,6.54E-08,1.33E-08,2.64E-08,1.33E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot35-POS-1.txt,1500,330,3.58E+08,2.64E+05,3.32E-06,6.83E-08,1.59E-09,3.06E-08,2.12E-08,-
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot36-POS-1.txt,1500,330,3.41E+08,1.05E+04,3.89E-06,3.53E-08,1.57E-08,3.22E-08,1.48E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot37-POS-1.txt,1500,330,3.40E+08,1.16E+04,3.75E-06,3.52E-08,1.59E-08,3.22E-08,1.46E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot38-POS-1.txt,1500,330,3.39E+08,9.41E+03,3.75E-06,3.41E-08,1.69E-08,3.24E-08,1.62E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot39-POS-1.txt,1500,330,3.35E+08,1.20E+04,3.34E-06,3.04E-08,1.42E-08,3.28E-08,1.50E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot4-POS-1.txt,1500,330,4.15E+08,5.89E+03,3.75E-06,8.30E-08,1.99E-08,2.64E-08,2.55E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot5-POS-1.txt,1500,330,4.16E+08,5.45E+03,3.85E-06,7.82E-08,2.14E-08,2.63E-08,2.62E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot6-POS-1.txt,1500,330,4.14E+08,5.85E+03,3.81E-06,6.55E-08,2.01E-08,2.65E-08,2.45E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot7-POS-1.txt,1500,330,4.16E+08,6.15E+03,3.83E-06,7.42E-08,1.96E-08,2.64E-08,2.45E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot8-POS-1.txt,1500,330,4.16E+08,6.20E+03,3.80E-06,8.38E-08,2.17E-08,2.63E-08,2.84E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot9-POS-1.txt,1500,330,4.17E+08,8.60E+03,3.79E-06,8.79E-08,2.24E-08,2.63E-08,2.93E-08,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot0-POS-1.txt,1500,360,4.35E+08,1.49E+05,3.28E-06,8.27E-09,1.95E-09,2.51E-08,5.26E-09,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot1-POS-1.txt,1500,360,4.60E+08,1.34E+05,3.32E-06,7.87E-09,2.30E-09,2.38E-08,5.00E-09,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot10-POS-1.txt,1500,360,3.97E+08,7.69E+03,3.53E-06,5.45E-09,1.66E-08,2.75E-08,1.69E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot11-POS-1.txt,1500,360,4.28E+08,2.02E+04,3.37E-06,8.59E-09,1.13E-08,2.55E-08,1.19E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot12-POS-1.txt,1500,360,3.94E+08,2.87E+03,2.82E-06,8.22E-09,2.37E-08,2.77E-08,2.69E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot13-POS-1.txt,1500,360,3.43E+08,2.99E+03,3.20E-06,7.07E-09,2.07E-08,3.19E-08,2.24E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot14-POS-1.txt,1500,360,3.41E+08,7.13E+03,3.12E-06,7.27E-09,1.72E-08,3.21E-08,1.85E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot15-POS-1.txt,1500,360,3.69E+08,1.91E+04,3.25E-06,4.79E-09,1.69E-08,2.96E-08,1.99E-08,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot16-POS-1.txt,1500,360,3.88E+08,4.45E+03,3.03E-06,5.39E-09,1.99E-08,2.82E-08,2.11E-08,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot17-POS-1.txt,1500,360,3.51E+08,1.59E+04,3.21E-06,8.84E-09,1.07E-08,3.12E-08,1.12E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot18-POS-1.txt,1500,360,3.88E+08,4.46E+03,2.98E-06,4.99E-09,1.89E-08,2.82E-08,2.08E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot19-POS-1.txt,1500,360,3.84E+08,3.78E+03,2.98E-06,4.72E-09,2.18E-08,2.85E-08,2.45E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot2-POS-1.txt,1500,360,4.32E+08,1.88E+05,3.32E-06,7.85E-09,1.80E-09,2.53E-08,5.00E-09,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot20-POS-1.txt,1500,360,4.22E+08,9.17E+03,3.66E-06,7.60E-09,1.08E-08,2.59E-08,1.34E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot21-POS-1.txt,1500,360,3.35E+08,2.89E+03,2.90E-06,4.80E-09,2.16E-08,3.26E-08,2.19E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot22-POS-1.txt,1500,360,3.42E+08,7.49E+03,3.40E-06,7.81E-09,1.79E-08,3.19E-08,1.91E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot23-POS-1.txt,1500,360,3.45E+08,7.62E+03,3.34E-06,7.36E-09,1.59E-08,3.17E-08,1.67E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot24-POS-1.txt,1500,360,3.42E+08,3.19E+03,3.29E-06,7.54E-09,2.28E-08,3.20E-08,2.38E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot25-POS-1.txt,1500,360,4.00E+08,9.91E+03,3.42E-06,8.07E-09,1.48E-08,2.73E-08,1.64E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot26-POS-1.txt,1500,360,4.03E+08,3.09E+03,3.71E-06,7.25E-09,1.84E-08,2.71E-08,1.97E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot27-POS-1.txt,1500,360,4.03E+08,6.38E+03,3.48E-06,7.61E-09,1.54E-08,2.72E-08,1.66E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot28-POS-1.txt,1500,360,4.04E+08,4.27E+03,3.73E-06,6.31E-09,1.57E-08,2.71E-08,1.60E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot29-POS-1.txt,1500,360,3.75E+08,1.95E+04,3.45E-06,8.12E-09,1.16E-08,2.92E-08,1.34E-08,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot3-POS-1.txt,1500,360,3.46E+08,5.47E+03,3.31E-06,7.33E-09,1.60E-08,3.16E-08,1.60E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot30-POS-1.txt,1500,360,3.33E+08,2.37E+03,2.93E-06,4.24E-09,2.29E-08,3.28E-08,2.39E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot31-POS-1.txt,1500,360,3.34E+08,3.50E+03,3.00E-06,4.57E-09,2.26E-08,3.27E-08,2.45E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot32-POS-1.txt,1500,360,3.85E+08,6.54E+03,3.04E-06,5.09E-09,1.76E-08,2.84E-08,1.95E-08,0
